subject,k,auc,model,regime
1,4,0.97203125,riemann,within_subject
1,6,0.99303125,riemann,within_subject
1,8,0.9976437499999999,riemann,within_subject
1,10,0.99766875,riemann,within_subject
2,1,0.8061625,riemann,within_subject
2,2,0.90111875,riemann,within_subject
2,3,0.92963125,riemann,within_subject
2,4,0.9574937499999999,riemann,within_subject
2,6,0.9798875,riemann,within_subject
2,8,0.9943124999999999,riemann,within_subject
2,10,0.99604375,riemann,within_subject
3,1,0.8955249999999999,riemann,within_subject
3,2,0.9568500000000001,riemann,within_subject
3,3,0.9810437499999999,riemann,within_subject
3,4,0.9872500000000001,riemann,within_subject
3,6,0.99909375,riemann,within_subject
3,8,0.999775,riemann,within_subject
3,10,0.9999687500000001,riemann,within_subject
4,1,0.800225,riemann,within_subject
4,2,0.89039375,riemann,within_subject
4,3,0.9400750000000001,riemann,within_subject
4,4,0.954,riemann,within_subject
4,6,0.9745999999999999,riemann,within_subject
4,8,0.9912500000000001,riemann,within_subject
4,10,0.9955750000000001,riemann,within_subject
5,1,0.8803875,riemann,within_subject
5,2,0.92738125,riemann,within_subject
5,3,0.98021875,riemann,within_subject
5,4,0.986675,riemann,within_subject
5,6,0.99485,riemann,within_subject
5,8,0.99865,riemann,within_subject
5,10,0.9999875,riemann,within_subject
6,1,0.8634000000000001,riemann,within_subject
6,2,0.93519375,riemann,within_subject
6,3,0.9782312499999999,riemann,within_subject
6,4,0.9844125,riemann,within_subject
6,6,0.9969250000000001,riemann,within_subject
6,8,0.9988374999999999,riemann,within_subject
6,10,0.99975625,riemann,within_subject
7,1,0.85011875,riemann,within_subject
7,2,0.926125,riemann,within_subject
7,3,0.9607062499999999,riemann,within_subject
7,4,0.97599375,riemann,within_subject
7,6,0.99379375,riemann,within_subject
7,8,0.9963,riemann,within_subject
7,10,0.9995812500000001,riemann,within_subject
8,1,0.95479375,riemann,within_subject
8,2,0.98488125,riemann,within_subject
8,3,0.9963125,riemann,within_subject
8,4,0.997925,riemann,within_subject
8,6,0.9998687500000001,riemann,within_subject
8,8,1.0,riemann,within_subject
8,10,1.0,riemann,within_subject
1,1,0.7601375,riemann,cross_subject
1,2,0.8290625,riemann,cross_subject
1,3,0.903175,riemann,cross_subject
1,4,0.92703125,riemann,cross_subject
1,6,0.96438125,riemann,cross_subject
1,8,0.9894062499999999,riemann,cross_subject
1,10,0.988275,riemann,cross_subject
2,1,0.7181562499999999,riemann,cross_subject
2,2,0.7989875000000001,riemann,cross_subject
2,3,0.8507250000000001,riemann,cross_subject
2,4,0.8928375,riemann,cross_subject
2,6,0.91935625,riemann,cross_subject
2,8,0.954625,riemann,cross_subject
2,10,0.97035,riemann,cross_subject
3,1,0.855075,riemann,cross_subject
3,2,0.92171875,riemann,cross_subject
3,3,0.9524937500000001,riemann,cross_subject
3,4,0.96684375,riemann,cross_subject
3,6,0.9893875,riemann,cross_subject
3,8,0.99823125,riemann,cross_subject
3,10,0.999,riemann,cross_subject
4,1,0.76863125,riemann,cross_subject
4,2,0.83420625,riemann,cross_subject
4,3,0.9024187499999999,riemann,cross_subject
4,4,0.9254937500000001,riemann,cross_subject
4,6,0.95760625,riemann,cross_subject
4,8,0.9723875,riemann,cross_subject
4,10,0.9918875,riemann,cross_subject
5,1,0.8065875,riemann,cross_subject
5,2,0.85885,riemann,cross_subject
5,3,0.93005625,riemann,cross_subject
5,4,0.94633125,riemann,cross_subject
5,6,0.9595687500000001,riemann,cross_subject
5,8,0.98771875,riemann,cross_subject
5,10,0.9943937500000001,riemann,cross_subject
6,1,0.7626375,riemann,cross_subject
6,2,0.83580625,riemann,cross_subject
6,3,0.9069375,riemann,cross_subject
6,4,0.92003125,riemann,cross_subject
6,6,0.96340625,riemann,cross_subject
6,8,0.9762812500000001,riemann,cross_subject
6,10,0.98559375,riemann,cross_subject
7,1,0.7770750000000001,riemann,cross_subject
7,2,0.8516250000000001,riemann,cross_subject
7,3,0.9226125000000001,riemann,cross_subject
7,4,0.9299875,riemann,cross_subject
7,6,0.96375625,riemann,cross_subject
7,8,0.98771875,riemann,cross_subject
7,10,0.99169375,riemann,cross_subject
8,1,0.8059375,riemann,cross_subject
8,2,0.9118312499999999,riemann,cross_subject
8,3,0.9365187500000001,riemann,cross_subject
8,4,0.96603125,riemann,cross_subject
8,6,0.98116875,riemann,cross_subject
8,8,0.9943125,riemann,cross_subject
8,10,0.998,riemann,cross_subject
1,1,0.8092625,eegnet,within_subject
1,2,0.8776375,eegnet,within_subject
1,3,0.9406374999999999,eegnet,within_subject
1,4,0.9666625000000001,eegnet,within_subject
1,6,0.98628125,eegnet,within_subject
1,8,0.9948937500000001,eegnet,within_subject
1,10,0.9949,eegnet,within_subject
2,1,0.8084562500000001,eegnet,within_subject
2,2,0.9080625000000001,eegnet,within_subject
2,3,0.9365062500000001,eegnet,within_subject
2,4,0.975125,eegnet,within_subject
2,6,0.98960625,eegnet,within_subject
2,8,0.99579375,eegnet,within_subject
2,10,0.9985187500000001,eegnet,within_subject
